key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
cake-unlock-hint,,,Finish a cake to unlock!,"Завершите торт, чтобы разблокировать!",Termina un pastel para desbloquearlo.,Termine um bolo para desbloquear!,Terminez un gâteau pour le débloquer !,Beende einen Kuchen zum Freischalten!,Finisci una torta per sbloccare!,ケーキを完成させるとアンロックされます！,케이크를 완성하여 잠금 해제하세요!,完成一个蛋糕以解锁！,完成一個蛋糕以解鎖！,Selesaikan kue untuk membuka kunci!,เสร็จสิ้นเค้กเพื่อปลดล็อค!,Kilidi açmak için bir pasta bitirin!,Hoàn thành một chiếc bánh để mở khóa!,"Zakończ tort, aby go odblokować!",أكمل الكعكة لفتحها!,
cake-name-soon,,,???,???,???,???,???,???,???,???,???,？？？,？？？,???,???,???,???,???,؟؟؟,
cake-status-soon,,,Coming Soon!,Скоро будет!,¡Próximamente!,Em Breve!,Bientôt disponible !,Kommt bald!,Prossimamente!,近日公開！,곧 출시됩니다!,即将推出！,即將推出！,Segera Hadir!,เร็วๆนี้!,Yakında Geliyor!,Sắp có!,Wkrótce!,قريباً!,
match-title,,,Choose a Match,Выберите матч,Elegir una Partida ,Escolha uma Partida,Choisir un match,Wähle ein Match aus,Scegli una Partita ,マッチを選択する,매치 선택,选择比赛,選擇比賽,Pilih Pertandingan,เลือกแมตช์,Bir Maç Seçin,Chọn một trận đấu,Wybierz mecz,اختر مباراة,
match-difficulty-heading,,,Difficulty,Сложность,Dificultad,Dificuldade,Difficulté,Schwierigkeit,Difficoltà,難易度,난이도,难度,難度,Kesulitan,ความยาก\n,Zorluk,Độ khó,Trudność,الصعوبة,
match-players-heading,,,Party Size,Размер группы,Tamaño del grupo,Tamanho do Grupo,Taille du groupe,Gruppengröße ,Dimensione del gruppo,パーティーサイズ,파티 크기,派对规模 ,派對規模,Ukuran Pesta,ขนาดปาร์ตี้,Parti Boyutu,Kích thước nhóm,Rozmiar grupy,حجم المجموعة ,
match-cake-heading,,,Cake,Торт,Tarta,Bolo,Gâteau,Kuchen,Torta,ケーキ,케이크,蛋糕,蛋糕,Kue,เค้ก,Kek,Bánh,Tort,كيك,
match-difficulty-easy,,,Easy,Легко,Fácil,Fácil,Facile,Einfach,Facile,簡単,쉬운,简单,簡單,Mudah,ง่าย,Kolay,Dễ,Łatwy,سهل,
match-difficulty-medium,,,Medium,Средний,Medio,Médio,Moyen,Mittel,Medio,ミディアム,중간,中等,中等,Medium,ปานกลาง,Orta,Trung bình,Średni,متوسط,
match-difficulty-hard,,,Hard,Сложно,Difícil,Difícil,Difficile,Schwer,Difficile,ハード,어려움,困难,難的,Sulit,ยาก,Zor,Khó,Trudny,صعب,
match-difficulty-easy-detail,,,Relaxed pace,Располагающий темп,Ritmo relajado,Ritmo relaxado,Tempo détendu,Entspanntes Tempo,Pace rilassata ,ゆったりとしたペース,느긋한 속도,轻松的节奏 ,輕鬆的步調,Kecepatan yang santai,อัตราที่ผ่อนคลาย,Rahat tempo,Tốc độ thư giãn,Spokojne tempo,الوتيرة المريحة,
match-difficulty-medium-detail,,,"More layers, better rewards","Больше слоёв, больше наград","Más capas, mejores recompensas.","Mais camadas, melhores recompensas","Plus de couches, de meilleures récompenses","Mehr Schichten, bessere Belohnungen","Più livelli, ricompense migliori",より多くのレイヤー、より良い報酬,"더 많은 층, 더 좋은 보상",更多层，更好的奖励,更多層數，更好的獎勵,"Lebih banyak lapisan, hadiah yang lebih baik ",มีชั้นมากขึ้น รางวัลที่ดีขึ้น,"Daha fazla katman, daha iyi ödüller","Nhiều lớp, phần thưởng tốt hơn","Więcej warstw, lepsze nagrody",المزيد من الطبقات، مكافآت أفضل,
match-difficulty-hard-detail,,,"Most layers, best rewards","Больше слоёв, лучшие награды","Más capas, mejores recompensas","Mais camadas, melhores recompensas","Plus de couches, meilleures récompenses","Meiste Schichten, beste Belohnungen ","Più livelli, migliori ricompense",最多レイヤー、最高報酬,"최다 레이어, 최고의 보상",最多的层数，最好的奖励 ,最多的層數，最好的獎勵,"Paling banyak lapisan, hadiah terbaik ",ชั้นมากที่สุด รางวัลที่ดีที่สุด,"En çok katman, en iyi ödüller","Nhiều lớp nhất, phần thưởng tốt nhất","Więcej warstw, lepsze nagrody",أكثر الطبقات، أفضل المكافآت ,
match-reward-multiplier,,,{n}x,{n}x,{n}x,{n}x,{n}x,{n}x,{n}x,{n}倍,{n}배,{n} 倍,{n} 倍,{n}x,{n}x ,{n}x,{n}x,{n}x,{n}×,
match-player-one,,,1 Player,1 игрок,1 Jugador,1 Jogador,1 joueur,1 Spieler,1 giocatore,1人のプレイヤー,1명의 플레이어,1名玩家,1名玩家,1 Pemain,ผู้เล่น 1 คน,1 Oyuncu,1 người chơi,1 gracz,لاعب واحد,
match-player-many,,,{n} Players,{n} игроков,{n} Jugadores ,{n} Jogadores,{n} Joueurs,{n} Spieler ,{n} Giocatori ,{n} プレイヤー,{n} 플레이어,{n} 玩家,{n} 玩家,{n} Pemain,{n} ผู้เล่น,{n} Oyuncular,{n} Người chơi,{n} Graczy,{n} اللاعبين,
match-start,,,START,НАЧАТЬ,COMENZAR,COMEÇAR,COMMENCER,STARTEN,INIZIA,スタート,시작,开始,開始,MULAI,เริ่ม,BAŞLA,BẮT ĐẦU,START,البداية,
match-starting,,,STARTING...,НАЧИНАЕМ...,EMPEZANDO...,COMEÇANDO...,DÉMARRAGE...,STARTET...,INIZIANDO...,スタートしています...,시작하는 중...,正在开始...,即將開始...,MULAI...,กำลังเริ่ม...,BAŞLIYOR...,BẮT ĐẦU...,START...,يتم البدء...,
match-status-choose,,,Choose difficulty and party size,Выберите сложность и размер группы.,Elige la dificultad y el tamaño del grupo ,Escolha dificuldade e tamanho de grupo,Choisis la difficulté et la taille du groupe,Wähle Schwierigkeit und Gruppengröße ,Scegli la difficoltà e le dimensioni del gruppo,難易度とパーティーのサイズを選択してください,난이도와 파티 크기 선택,选择难度和队伍规模 ,選擇難度和隊伍規模,Pilih kesulitan dan ukuran pesta,เลือกความยากและขนาดปาร์ตี้,Zorluk ve parti boyutunu seçin.,Chọn độ khó và kích thước nhóm,Wybierz trudność i rozmiar grupy,اختر الصعوبة وحجم الفريق,
match-status-partial,,,Choose one more option,Выберите еще один вариант,Elige una opción más,Escolha mais uma opção,Choisissez une autre option,Wählen Sie eine weitere Option,Scegli un'altra opzione,もう1つオプションを選択してください,한 가지 옵션을 더 선택하세요.,再选择一个选项,再選擇一個選項,Pilih satu opsi lagi,เลือกอีกหนึ่งตัวเลือก,Bir seçenek daha seçin,Chọn thêm một lựa chọn nữa,Wybierz jeszcze jedną opcję,اختر خيارًا آخر,
match-status-ready,,,{current}/{max} players here - ready to launch!,,,,,,,,,,,,,,,,,
match-status-starting,,,Starting the match...,Начинаем матч...,Comenzando la partida...,Começando a partida...,Démarrage du match...,Spiel wird begonnen ...,Inizio della partita...,試合開始...,매치를 시작합니다...,比赛即将开始...,比賽即將開始...,Memulai pertandingan...,กำลังจะเริ่มการแข่งขัน...,Maç başlıyor...,Bắt đầu trận đấu...,Rozpoczynanie meczu...,بدء المباراة...,
match-error-start,,,Couldn't start the match. Try again.,Не удалось начать матч. Попробуйте еще раз.,No se pudo iniciar la partida. Inténtalo de nuevo.,Não foi possível iniciar a partida. Tente novamente.,Impossible de démarrer le match. Réessayez.,Das Spiel konnte nicht gestartet werden. Versuche es erneut.,Non è stato possibile iniziare la partita. Riprova.,マッチを開始できませんでした。もう一度お試しください。,매치를 시작할 수 없습니다. 다시 시도하세요.,无法开始比赛。请重试。,無法開始比賽。請再試一次。,Tidak dapat memulai pertandingan. Coba lagi.,ไม่สามารถเริ่มการแข่งขันได้ ลองอีกครั้ง,Maç başlatılamadı. Tekrar deneyin.,Không thể bắt đầu trận đấu. Hãy thử lại.,Nie udało się rozpocząć meczu. Spróbuj ponownie.,تعذر بدء المباراة. جرب مرة أخرى.,
match-error-session-lost,,,That match session ended. Step in again.,Эта сессия матчей завершилась. Войдите снова.,Esa sesión de partido terminó. Vuelve a entrar.,Essa sessão de partidas terminou. Entre novamente.,Cette session de match est terminée. Rejoignez-nous à nouveau.,Diese Spielsitzung ist beendet. Tritt erneut ein. ,Quella sessione di partite è finita. Entra di nuovo.,そのマッチセッションは終了しました。もう一度ステップしてください。,해당 매치 세션이 종료되었습니다. 다시 참가하세요.,那场比赛已经结束了。请再次参与。 ,該比賽場次已結束。請再次進入。,Sesi pertandingan itu berakhir. Masuk lagi.,เซสชันการแข่งขันนั้นจบลงแล้ว กลับเข้าไปอีกครั้ง,Bu maç oturumu sona erdi. Tekrar girin.,Phiên trận đấu đó đã kết thúc. Hãy tham gia lại.,Ta sesja meczów się skończyła. Wejdź ponownie.,لقد انتهت جلسة المباراة. ادخل مرة أخرى.,
match-error-invalid-choice,,,Choose a valid difficulty and party size.,Выберите действительную сложность и размер группы.,Elige una dificultad y tamaño de grupo válidos.,Escolha uma dificuldade válida e tamanho de grupo.,Choisissez une difficulté valide et la taille du groupe.,Wähle eine gültige Schwierigkeit und Gruppengröße.,Scegli una difficoltà valida e le dimensioni del gruppo.,有効な難易度とパーティーサイズを選択してください。,유효한 난이도와 파티 크기를 선택하세요.,选择一个有效的难度和队伍规模。,選擇一個有效的難度和隊伍規模。,Pilih kesulitan dan ukuran pesta yang valid.,เลือกความยากและขนาดปาร์ตี้ที่ถูกต้อง,Geçerli bir zorluk ve parti boyutu seçin.,Chọn một độ khó và kích thước nhóm hợp lệ.,Wybierz poprawną trudność i rozmiar grupy.,اختر صعوبة صالحة وحجم المجموعة.,
belly-label,,,BELLY {fill}/{cap},,,,,,,,,,,,,,,,,
belly-glutton,,,FULL! GLUTTON x2,ПОЛНЫЙ! Обжор x2,¡LLENO! Glutón x2,CHEIO! GLUTTON x2,PLEIN ! GLUTTON x2 ,VOLL! GLUTTON x2,PIENO! GLUTTON x2,満タン！グルトンx2 ,가득! 과식자 x2 ,已满！贪吃鬼 x2,滿了！暴食者 x2,PENUH! GLUTTON x2 ,เต็ม! GLUTTON x2,DOLU! Glutton x2 ,Đầy! GLUTTON x2,Pełny! GLUTTON x2,ممتلئ! الشراهة x2,
cake-progress,,,CAKE {pct}%,Торт {pct}%,TARTA {pct}%,BOLO {pct}%,GÂTEAU {pct}%,Kuchen {pct}%,TORTA {pct}%,ケーキ {pct}%,케이크 {pct}%,蛋糕 {pct}%,蛋糕 {pct}%,KUE {pct}%,เค้ก {pct}%,Kek {pct}%,Bánh {pct}%,Tort {pct}%,الكيك {pct}%,
cake-finds,,,FINDS {found}/{total},,,,,,,,,,,,,,,,,
cake-boss,,,CAKE MONSTER! {timer}s,,,,,,,,,,,,,,,,,
cake-miniboss,,,CRUMB MONSTER! EAT IT!,,,,,,,,,,,,,,,,,
cake-reward,,,SQUISHY TIME!,Время мягкости!,¡HORA DE APLASTAR!,HORA DO SQUISHY!,Temps moelleux !,SQUISHY-ZEIT!,TEMPO SQUISHY!,スクイシータイム！,스 퀴시 타임!,软萌时刻！,軟軟時間！,Waktu Squishy!,เวลา SQUISHY!,Yumuşacık Zaman!,Thời gian mềm mại!,Czas Squishy!,وقت اللينة! ,
cake-spawning,,,NEW CAKE IN {timer}s,Новый торт через {timer} секунд,NUEVO PASTEL EN {timer}s ,NOVO BOLO EM {timer}s ,NOUVEAU GÂTEAU EN {timer} s,NEUER KUCHEN IN {timer} s,NUOVA TORTA IN {timer} s,新しいケーキまで{timer}秒,{timer}초 후 새로운 케이크가 나와요,新蛋糕将在{timer}秒后出现 ,新蛋糕將在{timer}秒後出現 ,Kue Baru Dalam {timer} Detik ,เค้กใหม่ใน {timer} วินาที,{timer} saniye içinde yeni bir pasta,Bánh mới trong {timer} giây,Nowe ciasto za {timer} s,كعكة جديدة في {timer} ثواني,
announce-new-cake,,,A fresh cake rolled in!,Свежий торт появился!,¡Un pastel fresco enrollado!,Um bolo fresco enrolado!,Un gâteau frais est arrivé !,Ein frischer Kuchen wurde gerollt!,Una torta fresca arrotolata!,フレッシュなケーキが転がってきた！,신선한 케이크가 들어왔어요!,一块新鲜的蛋糕滚了进来！,一個新鮮的蛋糕滾進來了！,Sebuah kue segar digulung!,เค้กสดม้วนเข้ามา!,Taze bir pasta yuvarlandı!,Một chiếc bánh tươi mới được cuộn ra!,Świeże ciasto zostało wytworzone!,تم تدحرج كعكة طازجة!,
announce-rare-cake-golden,,,GOLDEN CAKE! x3 calories!,Золотой торт! x3 калорий!,Tarta dorada! x3 calorías!,BOLO DOURADO! x3 calorias!,Gâteau doré ! x3 calories !,Goldener Kuchen! x3 Kalorien!,Torta dorata! x3 calorie!,ゴールデンケーキ！ x3カロリー！,골든 케이크! x3 칼로리!,黄金蛋糕！x3卡路里！ ,黃金蛋糕！每個有3倍卡路里！,Kue Emas! x3 kalori!,เค้กทองคำ! x3 แคลอรี่!,Altın Kek! x3 kalori!,Bánh vàng! x3 calo!,Złote ciasto! x3 kalorie!,الكعكة الذهبية! x3 السعرات الحرارية!,
announce-rare-cake-rainbow,,,RAINBOW CAKE! Epic squishy guaranteed!,Радужный торт! Гарантированно эпическая мягкость!,¡Tarta de arcoíris! ¡Epic squishy garantizado!,Bolo de arco-íris! Slime épico garantido!,Gâteau arc-en-ciel ! Moelleux épique garanti !,Regenbogen-Kuchen! Epischer Squish garantiert!,Torta arcobaleno! Epic squishy garantito!,レインボーケーキ！エピックなスクイシーが確定！,레인보우 케이크! 에픽 스 퀴시 보장!,彩虹蛋糕！保证超级松软！,彩虹蛋糕！保證有超棒的軟萌質感！,Kue Pelangi! Kelembutan epik dijamin!,เค้กสายรุ้ง! รับประกันว่าจะเป็นอะไรที่นุ่มแน่นอน! ,Gökkuşağı Keki! Epik yumuşacık garantili!,Bánh cầu vồng! Chắc chắn sẽ siêu mềm mại! ,Tęczowe ciasto! Gwarantowane epickie squishy!,كعكة قوس قزح! ضمان الملمعة الرائعة! ,
announce-boss-spawned,,,The Cake Monster wakes up!,,,,,,,,,,,,,,,,,
announce-cake-cleared,,,Cake cleared! Everyone gets a squishy!,Торт очищен! Все получают мягкий десерт!,¡El pastel está limpio! ¡Todos reciben un bocadillo esponjoso!,Bolo limpo! Todo mundo ganha um squishy!,Le gâteau est terminé ! Tout le monde obtient un squishy !,Kuchen abgeräumt! Jeder bekommt einen Squishy!,Torta spazzata via! Tutti ricevono un soffice spuntino!,ケーキをクリアしたよ！みんなスクイシーをゲットできるよ！,케이크가 사라졌어요! 모두가 스 퀴시를 얻어요!,蛋糕已清理！每个人都得到了一块软软的蛋糕！ ,蛋糕已經吃完了！每個人都會得到一個軟軟的東西！,Kue sudah habis! Semua orang mendapatkan yang lembut!,เค้กเคลียร์แล้ว! ทุกคนจะได้รับสควิชี่!,Kek temizlendi! Herkes yumuşak bir şey alır!,Bánh đã được dọn sạch! Mọi người đều nhận được một chiếc bánh mềm mại!,Tort wyczyszczony! Wszyscy dostają gąbkę!,تم إنهاء الكعك! يحصل الجميع على كعكة رقيقة!,
announce-layer-locked,,,Eat the top layer first!,Сначала съешьте верхний слой!,¡Primero come la capa superior!,Coma a camada superior primeiro!,Mangez d'abord la couche supérieure !,Iss zuerst die oberste Schicht!,Mangia il livello superiore per primo!,最上層を先に食べてください！,맨 위층을 먼저 먹으세요!,先吃掉最上面的一层！,先吃頂層吧！,Makan lapisan atas terlebih dahulu!,กินชั้นบนสุดก่อน!,Önce üst katmanı yiyin!,Hãy ăn lớp trên cùng trước nhé!,Najpierw zjedz najwyższą warstwę!,تناول الطبقة العليا أولاً!,
announce-layer-cleared,,,LAYER CLEARED!,Слой очищен!,¡CAPA DESPEJADA!,CAMADA LIMPA!,COUCHE ÉFFACÉE !,Schicht geklärt!,STRATO ELIMINATO!,レイヤーをクリアしました！,레이어 클리어!,层已清除！,層已清除！,LAYER DIHAPUS!,เคลียร์ชั้นแล้ว!,Katman temizlendi!,Lớp đã được dọn sạch!,Warstwa oczyszczona!,تم تطهير الطبقة!,
announce-miniboss-spawned,,,SOMETHING BURST OUT OF THE CAKE!,Что-то вырвалось из торта!,¡ALGO SALIÓ DEL PASTEL!,ALGO EXPLODIU DO BOLO!,QUELQUE CHOSE A ÉCLAT DU GÂTEAU !,Etwas ist aus dem Kuchen hervorgekommen!,QUALCOSA È USCITO DALLA TORTA!,ケーキから何かが飛び出してきた！,케이크에서 무언가가 터져 나왔어요!,有东西从蛋糕里爆出来了！ ,有東西從蛋糕裡衝出來了！,Sesuatu meledak dari kue!,มีบางอย่างระเบิดออกมาจากเค้ก!,Kekten bir şey fırladı!,Một cái gì đó nổ ra khỏi chiếc bánh!,Coś wyskoczyło z ciasta!,لقد انفجر شيء من الكعكة!,
announce-miniboss-defeated,,,CRUMB MONSTER DOWN! DIG DEEPER!,,,,,,,,,,,,,,,,,
announce-layer-cheer-1,,,LAYER DEMOLISHED!,,,,,,,,,,,,,,,,,
announce-layer-cheer-2,,,NOM NOM NOM!,,,,,,,,,,,,,,,,,
announce-layer-cheer-3,,,ONE LAYER DOWN!,,,,,,,,,,,,,,,,,
announce-layer-cheer-4,,,NOTHING BUT CRUMBS!,,,,,,,,,,,,,,,,,
announce-layer-cheer-5,,,LICKED CLEAN!,,,,,,,,,,,,,,,,,
announce-layer-cheer-6,,,THAT WAS DELICIOUS!,,,,,,,,,,,,,,,,,
announce-layer-cheer-7,,,BIG BITE!,,,,,,,,,,,,,,,,,
announce-layer-cheer-8,,,SUGAR RUSH!,,,,,,,,,,,,,,,,,
announce-layer-cheer-9,,,GONE IN SECONDS!,,,,,,,,,,,,,,,,,
announce-layer-cheer-10,,,"MORE CAKE, PLEASE!",,,,,,,,,,,,,,,,,
announce-layer-cheer-11,,,CRUMBS EVERYWHERE!,,,,,,,,,,,,,,,,,
announce-layer-cheer-12,,,TASTY!,,,,,,,,,,,,,,,,,
announce-layer-cheer-13,,,KEEP DIGGING!,,,,,,,,,,,,,,,,,
announce-layer-cheer-14,,,WHAT A MOUTHFUL!,,,,,,,,,,,,,,,,,
announce-layer-cheer-15,,,SWEET!,,,,,,,,,,,,,,,,,
announce-layer-cheer-16,,,ATE THE WHOLE THING!,,,,,,,,,,,,,,,,,
announce-layer-cheer-17,,,YUMMY!,,,,,,,,,,,,,,,,,
announce-layer-cheer-18,,,LAYER WIPED OUT!,,,,,,,,,,,,,,,,,
announce-layer-cheer-19,,,SO GOOD!,,,,,,,,,,,,,,,,,
announce-layer-cheer-20,,,ANOTHER ONE EATEN!,,,,,,,,,,,,,,,,,
